Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],Interface_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],Interface_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0],T_Channel_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],T_Channel_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
1,1,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
2,2,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
3,3,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
4,4,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
5,5,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
6,6,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
7,7,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
8,8,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
9,9,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
10,10,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
11,11,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
12,12,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
13,13,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
14,14,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
15,15,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
16,16,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
17,17,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
18,18,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
19,19,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
20,20,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
21,21,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
22,22,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
